Product ID,Name,Description,Price,Stock Quantity
64,Oats Large Flake,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,47.56,118
65,Marzipan 50/50,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",49.1,231
66,"Pepsi, 355 Ml","Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",89.86,8
67,Pepper - Red Bell,Integer ac neque.,29.54,142
68,Soup - Campbells - Tomato,Phasellus id sapien in sapien iaculis congue.,37.01,222
69,Smoked Tongue,Morbi non lectus.,58.36,200
70,Coffee - Flavoured,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",38.93,261
71,Honey - Liquid,Etiam justo.,9.03,14
72,Arizona - Plum Green Tea,Suspendisse accumsan tortor quis turpis.,65.86,286
73,Coffee Cup 12oz 5342cd,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,5.8,21
74,Rosemary - Fresh,Nulla nisl.,68.83,1
75,Hersey Shakes,Nulla ac enim.,55.01,6
76,Salad Dressing,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",64.23,62
77,Coffee Cup 16oz Foam,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",45.94,244
78,Filling - Mince Meat,Curabitur at ipsum ac tellus semper interdum.,86.92,94
79,V8 - Berry Blend,Integer ac neque.,9.75,196
80,Blueberries,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",38.54,87
81,Puree - Mango,In eleifend quam a odio.,78.3,252
82,Strawberries,Integer a nibh.,94.39,185
83,Sea Bass - Whole,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7.02,208
84,"Basil - Primerba, Paste",Donec posuere metus vitae ipsum.,74.99,252
85,Buttons,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,44.59,1
86,Celery,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,31.7,259
87,Sterno - Chafing Dish Fuel,Vivamus tortor. Duis mattis egestas metus.,91.06,66
88,Water - San Pellegrino,Etiam vel augue. Vestibulum rutrum rutrum neque.,86.61,217
89,"Artichoke - Bottom, Canned",Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,87.02,89
90,"Water - Spring Water, 355 Ml",Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,47.67,108
91,Turkey - Oven Roast Breast,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,77.04,299
92,"Bread - Roll, Calabrese",Proin risus. Praesent lectus.,14.19,288
93,Hold Up Tool Storage Rack,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",72.13,27
94,Lettuce - Baby Salad Greens,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,89.93,26
95,Clams - Canned,Fusce posuere felis sed lacus.,35.73,219
96,The Pop Shoppe - Black Cherry,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,22.18,225
97,"Salt - Rock, Course",Pellentesque ultrices mattis odio.,97.71,61
98,Pike - Frozen Fillet,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",79.82,148
99,Ecolab - Lime - A - Way 4/4 L,Pellentesque ultrices mattis odio.,58.76,182
100,"Iced Tea - Lemon, 460 Ml",Morbi quis tortor id nulla ultrices aliquet.,92.98,53
101,Horseradish Root,Etiam justo.,75.34,268
102,"Beans - Turtle, Black, Dry",In congue. Etiam justo.,11.7,133
103,Wine - Sawmill Creek Autumn,Quisque id justo sit amet sapien dignissim vestibulum.,79.57,221
104,Kellogs All Bran Bars,Nulla tellus. In sagittis dui vel nisl.,69.44,214
105,"Lemonade - Kiwi, 591 Ml","In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",27.98,43
106,Grenadine,Duis mattis egestas metus. Aenean fermentum.,8.99,179
107,Venison - Ground,Duis mattis egestas metus. Aenean fermentum.,41.22,178
108,"Tomatoes - Plum, Canned",Proin interdum mauris non ligula pellentesque ultrices.,75.96,24
109,Beer - Blue,Pellentesque ultrices mattis odio. Donec vitae nisi.,65.49,20
110,Lemons,Nullam sit amet turpis elementum ligula vehicula consequat.,78.32,275
111,Coffee - Ristretto Coffee Capsule,Etiam faucibus cursus urna.,82.22,117
112,Cheese - Parmigiano Reggiano,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",77.55,14
113,Catfish - Fillets,Aenean sit amet justo.,87.44,295
114,Bacon Strip Precooked,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",10.88,214
115,Pasta - Canelloni,Morbi quis tortor id nulla ultrices aliquet.,54.16,129
116,Chinese Foods - Cantonese,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",95.37,135
117,Cheese Cloth,Morbi quis tortor id nulla ultrices aliquet.,5.52,26
118,Pork - Ground,Sed ante.,63.49,210
119,Lettuce - Romaine,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",96.89,254
120,"Bread - Pullman, Sliced",Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,80.52,17
121,Soap - Pine Sol Floor Cleaner,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,88.01,126
122,Sprouts - China Rose,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,20.38,36
123,Bread - Corn Muffaleta Onion,Suspendisse accumsan tortor quis turpis.,91.85,114
124,"Soup - Cream Of Broccoli, Dry",Integer ac leo. Pellentesque ultrices mattis odio.,20.64,41
125,Kiwano,Phasellus sit amet erat. Nulla tempus.,55.07,227
126,Oil - Grapeseed Oil,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",91.48,183
127,Sobe - Liz Blizz,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",99.27,284
128,"Beef - Cooked, Corned",Donec quis orci eget orci vehicula condimentum.,10.71,84
129,Cloves - Whole,Nulla facilisi.,88.26,162
130,Cheese - Le Cru Du Clocher,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,91.68,155
131,Jerusalem Artichoke,Proin eu mi. Nulla ac enim.,57.7,295
132,Beans - Green,Aenean sit amet justo. Morbi ut odio.,16.36,188
133,Cookie Dough - Peanut Butter,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",86.18,115
134,Cake - French Pear Tart,Ut tellus. Nulla ut erat id mauris vulputate elementum.,21.94,140
135,"Star Anise, Whole","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",96.55,131
136,Cake - Dulce De Leche,Sed accumsan felis.,11.64,274
137,Blue Curacao - Marie Brizard,Integer ac leo. Pellentesque ultrices mattis odio.,95.65,54
138,"Asparagus - White, Canned",Morbi vel lectus in quam fringilla rhoncus.,68.95,230
139,"Sugar - Sweet N Low, Individual",Quisque porta volutpat erat.,92.54,69
140,Cookies - Assorted,Vivamus vestibulum sagittis sapien.,2.17,112
141,Squash - Guords,Vestibulum rutrum rutrum neque.,12.16,128
142,Beef - Tenderloin Tails,Pellentesque at nulla.,65.45,174
143,Longos - Cheese Tortellini,Phasellus sit amet erat. Nulla tempus.,53.61,72
144,Pepper - Green Thai,Curabitur at ipsum ac tellus semper interdum.,26.49,137
145,Pate Pans Yellow,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",49.28,113
146,Fireball Whisky,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",34.71,112
147,Petite Baguette,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",12.52,293
148,Yokaline,Quisque porta volutpat erat.,20.27,39
149,"Mustard - Dry, Powder",Etiam justo. Etiam pretium iaculis justo.,23.68,187
150,Pepper - Pablano,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",48.99,1
151,Irish Cream - Baileys,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",93.95,73
152,"Clams - Littleneck, Whole","Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",82.3,127
153,"Wine - White, Mosel Gold","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",85.74,235
154,"Apple - Delicious, Red","Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",92.09,144
155,Beef - Bresaola,Proin interdum mauris non ligula pellentesque ultrices.,2.24,288
156,Soup - Campbells Mac N Cheese,Phasellus in felis. Donec semper sapien a libero.,9.1,195
157,Veal - Nuckle,Vestibulum sed magna at nunc commodo placerat.,43.71,177
158,Spinach - Spinach Leaf,Donec semper sapien a libero.,84.37,290
159,Veal - Ground,Donec semper sapien a libero.,37.63,112
160,Soup - Campbells Broccoli,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",2.45,247
161,Cookie - Oreo 100x2,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",69.77,9
162,Puree - Mocha,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",5.92,100
163,Compound - Strawberry,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",38.25,147
164,Garlic - Elephant,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,8.48,210
165,Pail For Lid 1537,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",70.95,136
166,Ice Cream Bar - Drumstick,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",51.13,77
167,"Veal - Brisket, Provimi, Bone - In",Nam tristique tortor eu pede.,75.4,197
168,Beef - Montreal Smoked Brisket,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,36.53,15
169,Cream - 10%,Curabitur at ipsum ac tellus semper interdum.,87.54,27
170,Shrimp - Black Tiger 6 - 8,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",6.43,155
171,Bread - Rye,Cras non velit nec nisi vulputate nonummy.,12.26,166
172,Broom And Broom Rack White,Cras non velit nec nisi vulputate nonummy.,20.83,86
173,Lamb - Whole Head Off,Ut tellus. Nulla ut erat id mauris vulputate elementum.,30.96,256
174,Cactus Pads,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",57.22,158
175,Wine - Champagne Brut Veuve,Donec quis orci eget orci vehicula condimentum.,75.96,12
176,Pear - Halves,Cras non velit nec nisi vulputate nonummy.,92.56,114
177,Chicken Giblets,Etiam vel augue.,96.45,295
178,"Bread - Dark Rye, Loaf",Etiam pretium iaculis justo. In hac habitasse platea dictumst.,65.04,282
179,Fuji Apples,Suspendisse potenti.,79.7,25
180,"Wine - Red, Colio Cabernet",Nulla ut erat id mauris vulputate elementum.,94.57,162
181,Limes,Morbi non quam nec dui luctus rutrum. Nulla tellus.,33.64,43
182,Bar - Sweet And Salty Chocolate,Morbi quis tortor id nulla ultrices aliquet.,10.02,256
183,Miso Paste White,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",91.7,215
184,"Artichokes - Knobless, White","Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",86.03,246
185,"Beans - Black Bean, Preserved",Nulla facilisi.,57.8,15
186,Bacardi Limon,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,95.41,181
187,Flour Dark Rye,Aenean fermentum.,28.6,93
188,Nantucket Orange Juice,Ut tellus.,31.77,65
189,"Juice - Apple, 341 Ml","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",92.32,182
190,Sausage - Meat,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,71.02,127
191,Pickerel - Fillets,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",43.43,142
192,"Capon - Breast, Wing On",In congue. Etiam justo.,60.06,194
193,Energy Drink Red Bull,Nunc nisl.,39.1,167
194,"Yogurt - Strawberry, 175 Gr",Sed ante.,54.83,91
195,Spice - Paprika,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",86.01,230
196,Foam Tray S2,Praesent blandit. Nam nulla.,77.35,3
197,Cheese - Grie Des Champ,Integer ac leo. Pellentesque ultrices mattis odio.,34.77,52
198,Broom And Brush Rack Black,Nullam porttitor lacus at turpis.,29.32,225
199,Wine - Delicato Merlot,Duis consequat dui nec nisi volutpat eleifend.,43.31,25
200,Beans - Yellow,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",23.07,3
201,Buffalo - Short Rib Fresh,Praesent blandit. Nam nulla.,40.15,145
202,Passion Fruit,Pellentesque ultrices mattis odio. Donec vitae nisi.,95.17,137
203,Containter - 3oz Microwave Rect.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",64.45,169
204,Parsnip,Proin risus. Praesent lectus.,14.67,208
205,Pineapple - Regular,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",6.38,197
206,"Juice - Clamato, 341 Ml",Proin eu mi. Nulla ac enim.,14.52,235
207,Worcestershire Sauce,Cras in purus eu magna vulputate luctus.,91.18,38
208,Rice - Basmati,Suspendisse potenti. In eleifend quam a odio.,93.49,284
209,Puree - Guava,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,11.78,294
210,Pop Shoppe Cream Soda,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",28.0,109
211,Lettuce - Lambs Mash,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",66.79,230
212,Sauce - Vodka Blush,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",38.23,208
213,Chick Peas - Canned,Aliquam sit amet diam in magna bibendum imperdiet.,1.54,129
214,Canada Dry,Integer ac neque. Duis bibendum.,9.62,56
215,"Tortillas - Flour, 10",Sed accumsan felis. Ut at dolor quis odio consequat varius.,3.96,11
216,Coffee Beans - Chocolate,Mauris lacinia sapien quis libero.,76.26,253
217,Cheese - Comte,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,13.91,268
218,"Syrup - Monin, Swiss Choclate",Duis mattis egestas metus. Aenean fermentum.,7.36,137
219,French Kiss Vanilla,Suspendisse potenti. In eleifend quam a odio.,42.54,272
220,Milk 2% 500 Ml,Integer ac leo.,40.9,260
221,Pepper - Red Chili,Nullam sit amet turpis elementum ligula vehicula consequat.,80.21,104
222,"Chicken - Thigh, Bone In",Integer a nibh.,86.46,201
223,Cheese - Cream Cheese,Sed accumsan felis.,45.74,123
224,Tobasco Sauce,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",98.86,36
225,"Nut - Hazelnut, Ground, Natural",Praesent blandit.,98.33,238
226,Oil - Sunflower,Nulla tempus.,51.53,140
227,"Doilies - 7, Paper",Pellentesque ultrices mattis odio. Donec vitae nisi.,25.18,239
228,Wine - Cave Springs Dry Riesling,Donec dapibus. Duis at velit eu est congue elementum.,13.76,116
229,Muffin Mix - Morning Glory,Duis at velit eu est congue elementum.,79.91,100
230,Beans - Fava Fresh,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,2.11,235
231,Crackers - Soda / Saltins,Morbi porttitor lorem id ligula.,25.08,51
232,Sausage - Breakfast,Donec dapibus. Duis at velit eu est congue elementum.,93.48,268
233,Apple - Custard,Sed accumsan felis.,36.23,153
234,Beef - Striploin,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",9.1,39
235,Longan,Vivamus tortor. Duis mattis egestas metus.,77.92,20
236,Bacardi Limon,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",17.04,275
237,Steamers White,Morbi quis tortor id nulla ultrices aliquet.,62.79,165
238,Pork - Backfat,Praesent blandit lacinia erat.,85.37,281
239,"Oil - Olive, Extra Virgin","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",61.19,256
240,Onions - Green,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",86.43,216
241,Calypso - Strawberry Lemonade,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",34.35,40
242,Cookie - Oreo 100x2,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,92.26,20
243,"Chicken - Thigh, Bone In",Pellentesque viverra pede ac diam.,34.39,233
244,Tamarillo,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",99.47,189
245,Paper - Brown Paper Mini Cups,Mauris sit amet eros.,83.77,285
246,Port - 74 Brights,Morbi non lectus.,63.66,281
247,Cheese - Comte,Mauris lacinia sapien quis libero.,90.42,243
248,"Wine - Magnotta - Red, Baco","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",30.03,67
249,Wine - Gato Negro Cabernet,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,33.86,282
250,Steel Wool S.o.s,Integer ac leo. Pellentesque ultrices mattis odio.,60.38,151
251,Fireball Whisky,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,50.84,52
252,Sage Derby,Morbi quis tortor id nulla ultrices aliquet.,41.07,63
253,"Pasta - Cappellini, Dry",Fusce consequat. Nulla nisl.,9.31,57
254,Beef Dry Aged Tenderloin Aaa,Pellentesque ultrices mattis odio.,43.58,173
255,Cookie Dough - Double,Phasellus id sapien in sapien iaculis congue.,38.36,156
256,Sandwich Wrap,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",86.89,256
257,Rambutan,Nunc nisl.,50.97,36
258,Crab - Imitation Flakes,Praesent blandit.,34.64,221
259,Maintenance Removal Charge,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",89.53,188
260,Soap - Hand Soap,Nunc nisl.,60.28,116
261,Sugar - Cubes,Pellentesque viverra pede ac diam.,41.48,264
262,Beef - Bresaola,Donec posuere metus vitae ipsum.,38.43,157
263,Butcher Twine 4r,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",35.79,40
264,Muffin Mix - Carrot,Proin interdum mauris non ligula pellentesque ultrices.,69.53,169
265,"Rum - White, Gg White",Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,43.96,114
266,"Wine - White, Pinot Grigio",Etiam justo. Etiam pretium iaculis justo.,85.58,231
267,Muffin Mix - Banana Nut,Pellentesque ultrices mattis odio.,39.51,10
268,Juice - Orange 1.89l,Pellentesque viverra pede ac diam.,1.41,156
269,Apricots - Dried,Etiam justo.,60.6,211
270,"Zucchini - Mini, Green",Proin at turpis a pede posuere nonummy.,75.58,176
271,"Wine - White, Riesling, Semi - Dry",Donec semper sapien a libero.,18.2,256
272,"Extract - Vanilla,artificial",Nulla suscipit ligula in lacus.,15.62,109
273,Sprouts - China Rose,Nunc purus.,9.12,222
274,Beer - Moosehead,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",98.34,87
275,Soup - Campbells Pasta Fagioli,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",63.54,270
276,Island Oasis - Cappucino Mix,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,17.02,14
277,Appetizer - Seafood Assortment,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",6.21,4
